p_partkey,p_name,p_mfgr,p_brand,p_type,p_size,p_container,p_retailprice,p_comment
40411,goldenrod cream papaya navy aquamarine,Manufacturer#3,Brand#33,SMALL PLATED TIN,44,JUMBO BOX,1351.41,usly sp
40412,green navajo pale mint deep,Manufacturer#4,Brand#45,STANDARD PLATED COPPER,22,SM JAR,1352.41,sts cajole 
40413,orange metallic navajo maroon ghost,Manufacturer#2,Brand#22,SMALL ANODIZED STEEL,19,LG BAG,1353.41," final, special "
40414,maroon orchid turquoise chocolate slate,Manufacturer#2,Brand#23,PROMO PLATED STEEL,43,LG PACK,1354.41, instructions. 
40415,salmon red brown magenta navajo,Manufacturer#5,Brand#51,STANDARD BRUSHED NICKEL,48,MED JAR,1355.41, ironic asymptot
40416,burlywood salmon tan bisque gainsboro,Manufacturer#5,Brand#53,LARGE ANODIZED NICKEL,10,SM DRUM,1356.41,ess pinto be
40417,royal dodger orange cyan tan,Manufacturer#2,Brand#21,ECONOMY ANODIZED NICKEL,14,LG CASE,1357.41,ly slow
40418,coral olive metallic snow steel,Manufacturer#5,Brand#54,STANDARD BURNISHED NICKEL,47,SM CASE,1358.41,iously ab
40419,blue green metallic moccasin ghost,Manufacturer#1,Brand#11,STANDARD BURNISHED STEEL,47,MED PACK,1359.41,ed dependencies
40420,midnight linen chiffon sienna indian,Manufacturer#2,Brand#24,STANDARD PLATED TIN,49,WRAP CAN,1360.42,efully
40421,tan pink forest slate yellow,Manufacturer#4,Brand#41,PROMO ANODIZED COPPER,33,JUMBO JAR,1361.42,ously. blithely
40422,coral light lemon khaki blanched,Manufacturer#1,Brand#11,LARGE ANODIZED NICKEL,41,MED BAG,1362.42,deposits.
40423,firebrick powder azure maroon deep,Manufacturer#5,Brand#51,LARGE BURNISHED BRASS,10,SM PKG,1363.42, of the
40424,lime midnight beige misty salmon,Manufacturer#5,Brand#53,PROMO BURNISHED COPPER,31,WRAP CAN,1364.42,fully final inst
40425,maroon linen lemon grey misty,Manufacturer#4,Brand#43,LARGE BRUSHED STEEL,1,LG CAN,1365.42,ular pi
40426,navy linen burnished brown blanched,Manufacturer#1,Brand#12,PROMO BRUSHED NICKEL,24,MED PACK,1366.42,s against the f
40427,tomato forest wheat black red,Manufacturer#3,Brand#35,LARGE POLISHED NICKEL,33,MED PACK,1367.42,excuses affix th
40428,honeydew dim brown lime drab,Manufacturer#2,Brand#25,ECONOMY BURNISHED NICKEL,19,SM CASE,1368.42,pecial deposits bo
40429,beige bisque dark burnished tomato,Manufacturer#5,Brand#51,ECONOMY BRUSHED TIN,16,LG CAN,1369.42,ep slyly. platelet
40430,green turquoise peach dark chiffon,Manufacturer#3,Brand#35,LARGE BURNISHED STEEL,21,MED CASE,1370.43,fix. f
40431,spring sienna burnished papaya slate,Manufacturer#3,Brand#35,STANDARD POLISHED COPPER,32,JUMBO JAR,1371.43, packages. car
40432,lavender medium cornsilk lemon chiffon,Manufacturer#1,Brand#14,ECONOMY ANODIZED BRASS,11,LG JAR,1372.43,sentiments
40433,deep almond royal salmon steel,Manufacturer#5,Brand#53,LARGE PLATED TIN,15,LG PKG,1373.43,y. ironically bol
40434,salmon medium peach smoke indian,Manufacturer#2,Brand#22,LARGE BURNISHED NICKEL,20,WRAP JAR,1374.43,fy foxes. quickly fin
40435,royal yellow wheat hot dim,Manufacturer#1,Brand#11,STANDARD ANODIZED NICKEL,10,SM BAG,1375.43,ages boo
40436,tomato cream ghost powder moccasin,Manufacturer#4,Brand#43,STANDARD POLISHED NICKEL,18,SM JAR,1376.43,aggle slyly
40437,beige pale turquoise puff forest,Manufacturer#1,Brand#14,PROMO BURNISHED BRASS,9,MED BAG,1377.43,heodolites cajole acro
40438,saddle maroon goldenrod red cyan,Manufacturer#3,Brand#32,ECONOMY ANODIZED NICKEL,35,MED PKG,1378.43, blit
40439,burnished purple blush cornflower plum,Manufacturer#5,Brand#53,PROMO BRUSHED STEEL,16,MED BOX,1379.43,cross th
40440,lace white burnished blanched linen,Manufacturer#5,Brand#53,PROMO BRUSHED COPPER,15,WRAP PKG,1380.44,ess ideas. slyly final
40441,sky coral spring brown grey,Manufacturer#2,Brand#23,ECONOMY POLISHED BRASS,48,LG CAN,1381.44, the regul
40442,drab hot lavender deep navajo,Manufacturer#1,Brand#12,PROMO BURNISHED NICKEL,49,WRAP JAR,1382.44,about the slyly 
40443,orchid navajo olive cyan blanched,Manufacturer#5,Brand#54,STANDARD BRUSHED TIN,30,SM DRUM,1383.44, carefully final p
40444,green firebrick mint honeydew rose,Manufacturer#5,Brand#54,SMALL POLISHED TIN,42,MED CASE,1384.44,"pending, pendi"
40445,sky navajo azure blue seashell,Manufacturer#2,Brand#24,STANDARD BURNISHED STEEL,24,WRAP CASE,1385.44,nto beans dou
40446,lemon blue dim navajo khaki,Manufacturer#1,Brand#12,LARGE ANODIZED STEEL,13,JUMBO DRUM,1386.44,ions after
40447,blue smoke frosted misty ivory,Manufacturer#4,Brand#45,STANDARD ANODIZED TIN,32,LG BAG,1387.44,sly even reques
40448,burlywood purple mint floral chocolate,Manufacturer#5,Brand#51,PROMO BURNISHED COPPER,49,JUMBO JAR,1388.44,breach blithe
40449,sienna burnished dodger linen cream,Manufacturer#1,Brand#13,SMALL BURNISHED COPPER,14,JUMBO PACK,1389.44,fully regular the
40450,cream ghost sky indian cornsilk,Manufacturer#2,Brand#22,STANDARD ANODIZED BRASS,12,JUMBO DRUM,1390.45,r the c
40451,red white plum dodger firebrick,Manufacturer#1,Brand#13,MEDIUM PLATED NICKEL,4,JUMBO JAR,1391.45,xes integrate ac
40452,firebrick beige white yellow maroon,Manufacturer#1,Brand#14,STANDARD PLATED TIN,7,MED PACK,1392.45, forges. bold 
40453,puff tomato deep tan bisque,Manufacturer#3,Brand#34,LARGE POLISHED STEEL,30,MED PACK,1393.45,quickly 
40454,wheat azure yellow hot pale,Manufacturer#3,Brand#34,ECONOMY PLATED STEEL,13,JUMBO CASE,1394.45,uriously regul
40455,almond honeydew rosy rose beige,Manufacturer#1,Brand#14,ECONOMY PLATED STEEL,19,SM CAN,1395.45,gle quickly af
40456,smoke azure red magenta tomato,Manufacturer#5,Brand#51,LARGE BURNISHED TIN,18,WRAP CAN,1396.45,sly at the fluffily pe
40457,rose olive khaki wheat orange,Manufacturer#1,Brand#13,SMALL PLATED STEEL,48,JUMBO DRUM,1397.45, furio
40458,midnight lace cream almond dim,Manufacturer#5,Brand#55,LARGE BRUSHED BRASS,15,JUMBO JAR,1398.45,uses.
40459,peru cornsilk steel yellow burnished,Manufacturer#2,Brand#24,STANDARD PLATED NICKEL,3,LG BAG,1399.45,the carefully 
40460,papaya lace puff sienna olive,Manufacturer#3,Brand#32,ECONOMY BURNISHED STEEL,36,JUMBO CASE,1400.46,eodol
40461,grey bisque lemon papaya coral,Manufacturer#4,Brand#43,SMALL BURNISHED TIN,28,JUMBO BAG,1401.46,"eposits. even, ironic"
40462,dim rose violet blanched sky,Manufacturer#5,Brand#55,SMALL PLATED BRASS,50,JUMBO DRUM,1402.46,ely regu
40463,lace honeydew sandy purple frosted,Manufacturer#1,Brand#13,SMALL BRUSHED BRASS,9,LG CAN,1403.46,tes are fluffily 
40464,snow brown cornflower lemon metallic,Manufacturer#2,Brand#21,PROMO ANODIZED TIN,8,JUMBO BOX,1404.46,ly bold request
40465,coral thistle rose white snow,Manufacturer#3,Brand#35,SMALL BRUSHED TIN,30,SM PACK,1405.46,ously even theodoli
40466,cornflower cornsilk deep spring pink,Manufacturer#4,Brand#42,SMALL BRUSHED BRASS,34,WRAP DRUM,1406.46,es alongside 
40467,dark lavender chocolate green cornsilk,Manufacturer#4,Brand#43,STANDARD ANODIZED NICKEL,21,LG PKG,1407.46,lithely final asy
40468,bisque dark lemon saddle peach,Manufacturer#5,Brand#52,SMALL ANODIZED NICKEL,4,SM DRUM,1408.46,tions cajo
40469,sky blush khaki blanched tan,Manufacturer#4,Brand#42,SMALL BRUSHED COPPER,37,SM BAG,1409.46,less requests. fina
40470,dodger puff blue khaki snow,Manufacturer#1,Brand#14,LARGE BRUSHED NICKEL,23,JUMBO BAG,1410.47,ard the unu
40471,sienna green chocolate olive blanched,Manufacturer#3,Brand#33,MEDIUM BRUSHED COPPER,5,WRAP BOX,1411.47,riously ev
40472,turquoise hot medium orange ivory,Manufacturer#1,Brand#13,PROMO POLISHED TIN,44,MED JAR,1412.47,"p careful, unusual "
40473,rose slate antique coral rosy,Manufacturer#3,Brand#31,STANDARD PLATED STEEL,41,SM JAR,1413.47,ly iro
40474,saddle coral misty almond salmon,Manufacturer#5,Brand#53,MEDIUM ANODIZED COPPER,31,JUMBO BAG,1414.47,iously unu
40475,coral misty rosy almond puff,Manufacturer#3,Brand#35,ECONOMY POLISHED BRASS,33,LG CAN,1415.47, pinto b
40476,puff pink azure lime forest,Manufacturer#3,Brand#31,PROMO POLISHED COPPER,33,JUMBO CASE,1416.47,tions sl
40477,lace yellow lavender thistle honeydew,Manufacturer#2,Brand#23,SMALL BURNISHED COPPER,32,MED CASE,1417.47,"kages. bold, even e"
40478,green rose magenta antique bisque,Manufacturer#3,Brand#33,STANDARD BRUSHED NICKEL,39,LG BAG,1418.47,"ound the special, s"
40479,cream brown lawn orange indian,Manufacturer#3,Brand#32,PROMO POLISHED BRASS,32,SM BAG,1419.47,ar foxes wake blithely
40480,blue sky orange lace tomato,Manufacturer#3,Brand#31,LARGE ANODIZED COPPER,38,LG CASE,1420.48,fully r
40481,navy brown tomato moccasin coral,Manufacturer#1,Brand#12,STANDARD ANODIZED TIN,24,LG BAG,1421.48,fully
40482,metallic khaki cream seashell ivory,Manufacturer#3,Brand#35,LARGE POLISHED STEEL,22,SM DRUM,1422.48,excuses acc
40483,navy deep dark magenta beige,Manufacturer#5,Brand#54,MEDIUM POLISHED NICKEL,10,SM CAN,1423.48,s the 
40484,firebrick purple lemon chartreuse powder,Manufacturer#4,Brand#45,MEDIUM ANODIZED BRASS,28,JUMBO PKG,1424.48, the blithely even ide
40485,blush snow honeydew misty goldenrod,Manufacturer#5,Brand#53,ECONOMY PLATED COPPER,33,MED BAG,1425.48,lly pending somas
40486,blanched azure snow seashell dark,Manufacturer#4,Brand#41,STANDARD POLISHED TIN,25,WRAP PKG,1426.48,ully silent att
40487,wheat burnished plum magenta peach,Manufacturer#1,Brand#13,PROMO BRUSHED COPPER,12,SM BAG,1427.48, packa
40488,medium plum midnight pale salmon,Manufacturer#2,Brand#24,MEDIUM BRUSHED BRASS,18,JUMBO CASE,1428.48,ly furiously f
40489,cyan lime midnight puff medium,Manufacturer#3,Brand#35,ECONOMY POLISHED STEEL,2,MED CAN,1429.48,de of th
40490,burnished spring aquamarine azure dim,Manufacturer#2,Brand#23,STANDARD BRUSHED BRASS,14,LG CAN,1430.49,g to the quickly re
40491,saddle magenta snow deep peru,Manufacturer#2,Brand#23,LARGE ANODIZED COPPER,5,JUMBO CASE,1431.49,ter the 
40492,misty pink violet deep firebrick,Manufacturer#2,Brand#24,STANDARD BURNISHED BRASS,1,MED DRUM,1432.49,iously regular 
40493,blanched almond seashell honeydew sienna,Manufacturer#1,Brand#13,ECONOMY BRUSHED COPPER,5,LG PACK,1433.49,eposits detect re
40494,lace medium firebrick orange cornflower,Manufacturer#2,Brand#22,STANDARD ANODIZED TIN,19,LG PACK,1434.49,t requests wake
40495,turquoise burlywood linen metallic goldenrod,Manufacturer#2,Brand#21,STANDARD ANODIZED TIN,49,WRAP JAR,1435.49,"al, ironic"
40496,maroon white lawn antique saddle,Manufacturer#2,Brand#24,MEDIUM ANODIZED BRASS,10,JUMBO PACK,1436.49,ggle furiously ab
40497,peach blanched seashell purple papaya,Manufacturer#4,Brand#43,PROMO BURNISHED COPPER,25,LG CAN,1437.49,uffily flu
40498,orchid hot cream frosted sky,Manufacturer#1,Brand#11,SMALL BURNISHED TIN,7,WRAP BAG,1438.49,rate slyly: furi
40499,antique lemon cornflower tomato purple,Manufacturer#5,Brand#52,ECONOMY PLATED BRASS,17,SM CAN,1439.49,ole at the alw
40500,frosted ghost chiffon rose purple,Manufacturer#4,Brand#43,LARGE POLISHED STEEL,3,LG CAN,1440.50,al requests haggle sl
40501,coral burlywood peach lace light,Manufacturer#2,Brand#24,MEDIUM BURNISHED BRASS,47,SM CAN,1441.50, quickl
40502,chiffon lime sandy yellow aquamarine,Manufacturer#5,Brand#55,SMALL PLATED COPPER,5,MED JAR,1442.50,slyly
40503,plum black lavender pink forest,Manufacturer#4,Brand#42,ECONOMY BURNISHED NICKEL,9,JUMBO PKG,1443.50,ys. care
40504,lime aquamarine tan indian drab,Manufacturer#2,Brand#21,PROMO BRUSHED TIN,48,WRAP PKG,1444.50,nusual deposits ha
40505,beige brown honeydew forest magenta,Manufacturer#3,Brand#33,SMALL BURNISHED COPPER,22,SM BAG,1445.50,dencies. pending packa
40506,violet forest linen honeydew blue,Manufacturer#4,Brand#44,MEDIUM BURNISHED COPPER,15,JUMBO JAR,1446.50,egular instructions
40507,chocolate lavender lime thistle beige,Manufacturer#2,Brand#21,SMALL BURNISHED STEEL,21,JUMBO CASE,1447.50,hout the quickly 
40508,drab beige azure thistle snow,Manufacturer#4,Brand#41,LARGE BURNISHED TIN,12,LG CAN,1448.50, even req
40509,green sienna snow salmon orange,Manufacturer#4,Brand#44,LARGE ANODIZED COPPER,33,MED DRUM,1449.50,inos sl
40510,azure cream blanched rosy beige,Manufacturer#1,Brand#14,ECONOMY POLISHED STEEL,12,WRAP JAR,1450.51,s bold accounts hind
40511,coral deep dim sandy peru,Manufacturer#4,Brand#42,STANDARD BRUSHED TIN,28,MED DRUM,1451.51,ending platele
40512,lavender medium thistle antique tomato,Manufacturer#1,Brand#13,ECONOMY POLISHED NICKEL,11,MED BAG,1452.51,around 
40513,frosted steel sky misty cornflower,Manufacturer#3,Brand#35,STANDARD ANODIZED STEEL,50,JUMBO BOX,1453.51, final instr
40514,pale hot cornsilk peach floral,Manufacturer#1,Brand#12,SMALL POLISHED TIN,17,JUMBO PKG,1454.51, cajole
40515,blush frosted drab wheat indian,Manufacturer#4,Brand#41,SMALL BRUSHED BRASS,23,LG BOX,1455.51,gle carefully.
40516,lime slate peru ghost saddle,Manufacturer#5,Brand#52,ECONOMY ANODIZED TIN,1,LG PKG,1456.51,packages
40517,thistle navy sky saddle antique,Manufacturer#2,Brand#22,PROMO BRUSHED TIN,28,SM CAN,1457.51,egular deposits.
40518,cornflower sienna cream indian lime,Manufacturer#3,Brand#35,PROMO ANODIZED STEEL,5,MED BAG,1458.51,ld theodo
40519,thistle brown beige powder seashell,Manufacturer#1,Brand#12,ECONOMY PLATED NICKEL,46,WRAP CAN,1459.51,ular foxe
40520,sienna thistle light coral drab,Manufacturer#2,Brand#21,LARGE ANODIZED NICKEL,26,MED CASE,1460.52,usly bold deposits acc
40521,gainsboro dodger papaya honeydew navy,Manufacturer#3,Brand#33,LARGE ANODIZED BRASS,5,LG CASE,1461.52, slyly unus
40522,turquoise cyan goldenrod thistle yellow,Manufacturer#3,Brand#32,PROMO PLATED NICKEL,46,JUMBO BOX,1462.52, carefully
40523,dim thistle almond cornsilk salmon,Manufacturer#4,Brand#41,LARGE BRUSHED BRASS,37,MED BAG,1463.52,luffily bo
40524,almond linen metallic violet antique,Manufacturer#2,Brand#24,MEDIUM BRUSHED BRASS,16,WRAP CAN,1464.52,s wake 
40525,mint blanched sky violet frosted,Manufacturer#5,Brand#54,STANDARD POLISHED TIN,43,JUMBO JAR,1465.52,ironic depo
40526,dodger wheat linen papaya red,Manufacturer#4,Brand#41,LARGE BRUSHED TIN,19,WRAP PACK,1466.52,c packages. 
40527,rosy peru linen cyan lime,Manufacturer#3,Brand#32,SMALL POLISHED STEEL,30,SM PKG,1467.52,nal ideas. r
40528,orchid burlywood turquoise plum blanched,Manufacturer#1,Brand#15,LARGE BRUSHED BRASS,29,WRAP BAG,1468.52,pendencies na
40529,lace frosted antique ivory orchid,Manufacturer#3,Brand#35,PROMO POLISHED BRASS,40,MED BAG,1469.52,uriously re
40530,brown dim deep puff coral,Manufacturer#3,Brand#34,LARGE POLISHED TIN,47,LG JAR,1470.53,"c, even foxes "
40531,plum pale lawn metallic olive,Manufacturer#5,Brand#54,STANDARD POLISHED TIN,3,WRAP DRUM,1471.53,luffily b
40532,dodger lavender tomato sky peru,Manufacturer#1,Brand#11,LARGE ANODIZED STEEL,11,LG PKG,1472.53,eneath 
40533,chiffon aquamarine red antique smoke,Manufacturer#4,Brand#42,MEDIUM BRUSHED BRASS,47,JUMBO BOX,1473.53,cial p
40534,violet orange snow medium sandy,Manufacturer#2,Brand#23,STANDARD BURNISHED COPPER,22,JUMBO PKG,1474.53,y ironic foxes slee
40535,lavender smoke cream plum beige,Manufacturer#5,Brand#51,SMALL POLISHED NICKEL,39,MED CAN,1475.53,gular 
40536,pink red gainsboro navajo spring,Manufacturer#2,Brand#22,SMALL BURNISHED NICKEL,50,LG PACK,1476.53,iously. blithely s
40537,puff ghost seashell peach mint,Manufacturer#4,Brand#45,PROMO POLISHED BRASS,3,LG PKG,1477.53,ake ca
40538,burlywood spring red honeydew grey,Manufacturer#5,Brand#53,PROMO PLATED NICKEL,28,MED JAR,1478.53, express se
40539,plum goldenrod turquoise deep cyan,Manufacturer#5,Brand#53,STANDARD BURNISHED BRASS,12,WRAP BOX,1479.53, nag about the unusu
40540,blanched cornsilk pale royal drab,Manufacturer#3,Brand#35,STANDARD BURNISHED COPPER,12,JUMBO CAN,1480.54,y final request
40541,salmon frosted pink rose metallic,Manufacturer#5,Brand#55,LARGE BRUSHED TIN,25,MED JAR,1481.54,uriously even excuse
40542,coral moccasin steel olive pale,Manufacturer#2,Brand#24,STANDARD BURNISHED TIN,8,LG DRUM,1482.54,ncies haggle carefully
40543,green lime ivory royal light,Manufacturer#3,Brand#34,LARGE POLISHED COPPER,38,SM CASE,1483.54,foxes eng
40544,purple spring yellow dodger metallic,Manufacturer#4,Brand#45,ECONOMY POLISHED NICKEL,20,LG BAG,1484.54,quickly pending depo
40545,metallic puff forest indian beige,Manufacturer#5,Brand#55,STANDARD PLATED TIN,26,WRAP JAR,1485.54,fully special req
40546,drab blue pale forest indian,Manufacturer#1,Brand#14,LARGE ANODIZED TIN,23,WRAP BOX,1486.54,. blith
40547,smoke rosy metallic navajo slate,Manufacturer#1,Brand#13,PROMO BURNISHED NICKEL,10,SM BOX,1487.54, beans wake-- bl
40548,midnight plum navajo slate gainsboro,Manufacturer#4,Brand#44,MEDIUM BURNISHED NICKEL,44,SM BOX,1488.54,fully along the ir
40549,chiffon thistle pink magenta papaya,Manufacturer#2,Brand#23,SMALL PLATED TIN,41,SM PKG,1489.54, ironic accounts w
40550,bisque spring yellow thistle beige,Manufacturer#5,Brand#53,SMALL BRUSHED NICKEL,30,JUMBO CAN,1490.55,s are accounts. q
40551,steel forest rosy maroon ivory,Manufacturer#2,Brand#21,ECONOMY POLISHED BRASS,37,LG PACK,1491.55,sly final excuses
40552,rosy ivory wheat antique cream,Manufacturer#5,Brand#54,SMALL BURNISHED TIN,39,MED JAR,1492.55,ages cajole. c
40553,pink dark blue metallic beige,Manufacturer#3,Brand#32,STANDARD PLATED COPPER,31,MED CASE,1493.55,ve th
40554,misty chocolate coral gainsboro thistle,Manufacturer#3,Brand#32,ECONOMY BRUSHED NICKEL,46,JUMBO JAR,1494.55,sleep carefully about 
40555,azure seashell bisque dark gainsboro,Manufacturer#4,Brand#44,LARGE BRUSHED STEEL,42,LG PACK,1495.55,yly pendin
40556,frosted plum navy grey rosy,Manufacturer#3,Brand#34,STANDARD BURNISHED BRASS,32,WRAP PKG,1496.55,e requests. careful
40557,burnished dodger drab royal black,Manufacturer#4,Brand#43,SMALL BURNISHED NICKEL,35,MED JAR,1497.55,"ng, bold ideas. thi"
40558,black lace cornsilk lavender honeydew,Manufacturer#1,Brand#15,SMALL ANODIZED COPPER,2,LG DRUM,1498.55,ilent packa
40559,bisque frosted violet orange misty,Manufacturer#4,Brand#44,LARGE ANODIZED STEEL,28,MED PKG,1499.55,arefully accordi
40560,rosy floral khaki peach pale,Manufacturer#5,Brand#54,PROMO PLATED TIN,19,SM DRUM,1500.56,y fin
40561,lavender ivory aquamarine navajo navy,Manufacturer#2,Brand#23,MEDIUM PLATED TIN,10,JUMBO JAR,1501.56, blithely
40562,coral moccasin chartreuse beige cream,Manufacturer#4,Brand#41,ECONOMY BRUSHED TIN,40,SM JAR,1502.56,refully qui
40563,cyan mint forest drab sky,Manufacturer#1,Brand#14,SMALL BRUSHED BRASS,5,JUMBO CAN,1503.56,nusual requests
40564,tomato salmon brown lime dim,Manufacturer#5,Brand#54,PROMO ANODIZED NICKEL,2,WRAP CAN,1504.56,al re
40565,green brown linen rose orchid,Manufacturer#2,Brand#24,SMALL POLISHED TIN,9,JUMBO BOX,1505.56,eas. 
40566,goldenrod peru bisque gainsboro powder,Manufacturer#2,Brand#21,SMALL BURNISHED NICKEL,2,MED DRUM,1506.56,usual deposits wa
40567,metallic powder cornflower lace forest,Manufacturer#1,Brand#13,ECONOMY BURNISHED STEEL,6,LG CAN,1507.56,ithely 
40568,maroon indian rosy cream burnished,Manufacturer#2,Brand#24,PROMO PLATED STEEL,3,JUMBO CAN,1508.56,"he unusual,"
40569,khaki steel thistle lavender almond,Manufacturer#1,Brand#15,LARGE BRUSHED COPPER,11,WRAP BOX,1509.56,ully regular packag
40570,rose sandy black smoke white,Manufacturer#1,Brand#12,MEDIUM POLISHED TIN,16,MED DRUM,1510.57, the furiously e
40571,chartreuse hot maroon peach misty,Manufacturer#4,Brand#45,STANDARD BRUSHED STEEL,35,WRAP DRUM,1511.57,ould boost carefully
40572,burlywood blue drab purple light,Manufacturer#4,Brand#45,SMALL BRUSHED BRASS,11,LG BOX,1512.57,uickly.
40573,honeydew frosted rosy dark light,Manufacturer#4,Brand#42,SMALL POLISHED STEEL,42,JUMBO BOX,1513.57,inal waters. final 
40574,plum cream saddle spring wheat,Manufacturer#4,Brand#43,MEDIUM BRUSHED COPPER,40,MED DRUM,1514.57,ar accoun
40575,violet burnished antique cream wheat,Manufacturer#4,Brand#41,MEDIUM BRUSHED TIN,45,WRAP CASE,1515.57,ructions.
40576,dodger cornflower sky indian slate,Manufacturer#1,Brand#11,SMALL BRUSHED COPPER,33,SM PKG,1516.57,heodolites. unusua
40577,maroon gainsboro dodger moccasin cornflower,Manufacturer#1,Brand#14,ECONOMY BRUSHED COPPER,23,SM PACK,1517.57, deposits cajole
40578,maroon cornsilk coral spring papaya,Manufacturer#2,Brand#21,MEDIUM POLISHED COPPER,11,SM JAR,1518.57,s cajole expre
40579,blue chocolate lemon ghost powder,Manufacturer#2,Brand#24,STANDARD BRUSHED STEEL,38,SM CASE,1519.57,ding to the r
40580,black honeydew smoke metallic royal,Manufacturer#2,Brand#25,LARGE PLATED COPPER,8,SM CAN,1520.58, packa
40581,yellow saddle dim frosted azure,Manufacturer#2,Brand#24,SMALL PLATED TIN,42,WRAP JAR,1521.58,above the furiou
40582,blush spring linen white hot,Manufacturer#1,Brand#15,SMALL BRUSHED COPPER,14,JUMBO CASE,1522.58,", spe"
40583,yellow lime thistle ivory ghost,Manufacturer#2,Brand#21,MEDIUM POLISHED STEEL,8,JUMBO BAG,1523.58,ymptotes sleep 
40584,purple metallic light brown moccasin,Manufacturer#5,Brand#54,STANDARD BRUSHED NICKEL,26,JUMBO DRUM,1524.58,ounts. eve
40585,dark puff navajo navy snow,Manufacturer#5,Brand#52,LARGE POLISHED BRASS,13,LG CAN,1525.58,e slyly
40586,spring forest yellow lemon honeydew,Manufacturer#5,Brand#53,ECONOMY ANODIZED COPPER,36,MED PKG,1526.58,usly slyly 
40587,dim blanched antique grey saddle,Manufacturer#3,Brand#32,SMALL ANODIZED COPPER,20,LG CAN,1527.58,", regular ideas sleep"
40588,grey purple light lace moccasin,Manufacturer#2,Brand#21,ECONOMY POLISHED BRASS,41,JUMBO BAG,1528.58,s. unus
40589,brown medium yellow honeydew pink,Manufacturer#1,Brand#11,SMALL POLISHED STEEL,27,JUMBO BAG,1529.58,ld packages a
40590,blush maroon peru blanched almond,Manufacturer#3,Brand#33,ECONOMY ANODIZED STEEL,21,SM CASE,1530.59,the bli
40591,frosted chocolate spring floral sienna,Manufacturer#1,Brand#15,STANDARD BRUSHED TIN,41,JUMBO BAG,1531.59,onically quick 
40592,linen sienna navy navajo snow,Manufacturer#3,Brand#31,STANDARD PLATED STEEL,8,WRAP PKG,1532.59,ully u
40593,papaya cornsilk pink dodger yellow,Manufacturer#1,Brand#11,LARGE PLATED COPPER,32,LG CASE,1533.59, asym
40594,navy azure steel honeydew chocolate,Manufacturer#3,Brand#35,STANDARD PLATED TIN,40,MED PKG,1534.59,ts integrate furiously
40595,plum brown red olive violet,Manufacturer#5,Brand#55,ECONOMY BRUSHED STEEL,47,LG BOX,1535.59,ular accounts.
40596,misty forest red almond steel,Manufacturer#1,Brand#12,LARGE BURNISHED COPPER,12,WRAP DRUM,1536.59,ithely furiously 
40597,forest indian floral magenta navajo,Manufacturer#3,Brand#34,PROMO ANODIZED TIN,10,LG CASE,1537.59,ly silent exc
40598,royal olive cornflower peach lemon,Manufacturer#2,Brand#24,MEDIUM BRUSHED STEEL,30,SM BAG,1538.59,kly af
40599,spring midnight purple antique seashell,Manufacturer#3,Brand#34,LARGE ANODIZED TIN,19,LG JAR,1539.59,bold accoun
40600,lawn saddle puff goldenrod floral,Manufacturer#2,Brand#21,ECONOMY BURNISHED TIN,49,MED PKG,1540.60,ously a
40601,goldenrod maroon black beige olive,Manufacturer#1,Brand#13,LARGE BURNISHED COPPER,1,LG PACK,1541.60,old acco
40602,chartreuse cream royal lavender maroon,Manufacturer#2,Brand#24,SMALL BRUSHED BRASS,37,SM PACK,1542.60,osits will have to
40603,thistle spring cream lawn blanched,Manufacturer#2,Brand#22,LARGE PLATED STEEL,15,SM CAN,1543.60,quests s
40604,chiffon plum beige floral forest,Manufacturer#4,Brand#41,ECONOMY BRUSHED STEEL,9,JUMBO DRUM,1544.60,requests ag
40605,medium saddle dim violet floral,Manufacturer#3,Brand#35,SMALL BRUSHED STEEL,16,MED CASE,1545.60,eposits wake ca
40606,antique hot gainsboro papaya mint,Manufacturer#5,Brand#52,MEDIUM BURNISHED TIN,34,LG BOX,1546.60,encies. regular re
40607,saddle green royal beige seashell,Manufacturer#2,Brand#24,PROMO BRUSHED TIN,18,LG PACK,1547.60,quickly fin
40608,deep lime khaki blanched dim,Manufacturer#2,Brand#25,ECONOMY BRUSHED BRASS,33,JUMBO CASE,1548.60, boost between the q
40609,linen metallic mint floral puff,Manufacturer#5,Brand#55,MEDIUM POLISHED TIN,24,WRAP PKG,1549.60,es. blithely bol
40610,goldenrod azure purple mint maroon,Manufacturer#3,Brand#32,LARGE PLATED COPPER,32,MED DRUM,1550.61,y carefully 
40611,spring drab chartreuse blush brown,Manufacturer#4,Brand#41,ECONOMY POLISHED BRASS,30,JUMBO BAG,1551.61,sts. ironi
40612,plum tan medium forest sienna,Manufacturer#3,Brand#35,MEDIUM POLISHED STEEL,18,MED DRUM,1552.61,. ironical
40613,medium lavender rose maroon deep,Manufacturer#3,Brand#33,ECONOMY BURNISHED NICKEL,20,WRAP PKG,1553.61, slyly packa
40614,magenta cornflower firebrick metallic bisque,Manufacturer#4,Brand#43,SMALL BURNISHED STEEL,46,JUMBO CASE,1554.61,uctions b
40615,royal drab orchid black honeydew,Manufacturer#1,Brand#12,PROMO ANODIZED STEEL,33,JUMBO PACK,1555.61,ess deposi
40616,cream gainsboro brown linen maroon,Manufacturer#3,Brand#31,SMALL ANODIZED STEEL,9,WRAP DRUM,1556.61,ublate c
